"hashtag","tweet_utc_date","user_name","user_screen_name","bot_or_not","tweet_text","tweet_url","tweet_id","user_profile_image_url","user_location","source","in_reply_to_screen_name","in_reply_to_status_id","image_link","retweet_count","favorite_count","time_zone","geo_enabled","geography","coordinates","lang"
"#NICAR2019","2019-03-09 18:50:17+00:00","Latoya Peterson","LatoyaPeterson","False","Sidebar: I just found my new gamer tag. #NICAR2019 https://t.co/DgsFmmMOYi","https://twitter.com/LatoyaPeterson/status/1104454374200246272","1104454374200246272","http://pbs.twimg.com/profile_images/1045775960539185152/kTwuBv3b_normal.jpg","On a Plane","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","0","1","","True","","","en"
"#NICAR2019","2019-03-09 18:45:19+00:00","Jeff Hargarten ","JeffHargarten","False","RT @LatoyaPeterson: Many people have adopted 2 Factor Authentication (2FA) but SMS verification is less secure than using a Yubikey or soft","https://twitter.com/JeffHargarten/status/1104453124071149568","1104453124071149568","http://pbs.twimg.com/profile_images/815749122770599936/MhH7QhPo_normal.jpg","Minneapolis","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","1","0","","True","","","en"
"#NICAR2019","2019-03-09 18:38:56+00:00","Latoya Peterson","LatoyaPeterson","False","Many people have adopted 2 Factor Authentication (2FA) but SMS verification is less secure than using a Yubikey or https://t.co/TM5Nl9LAVu","https://twitter.com/LatoyaPeterson/status/1104451517178773504","1104451517178773504","http://pbs.twimg.com/profile_images/1045775960539185152/kTwuBv3b_normal.jpg","On a Plane","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","1","0","","True","","","en"
"#NICAR2019","2019-03-09 18:33:38+00:00","Erin Mansfield @ #NICAR19","_erinmansfield","False","""Everyone is S-O... shit outta luck. What's the acronym for that?""
@harlo #NICAR19  #NICAR2019","https://twitter.com/_erinmansfield/status/1104450186108035072","1104450186108035072","http://pbs.twimg.com/profile_images/949065751511515136/vF63ZntV_normal.jpg","East Texas","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","0","0","","True","","","en"
"#NICAR2019","2019-03-09 18:32:25+00:00","Erin Mansfield @ #NICAR19","_erinmansfield","False","RT @BenBotkin1: .@fishnette tells journalists to look for groups that start spending money late in an election cycle. ""At all sorts of leve","https://twitter.com/_erinmansfield/status/1104449878531305472","1104449878531305472","http://pbs.twimg.com/profile_images/949065751511515136/vF63ZntV_normal.jpg","East Texas","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","1","0","","True","","","en"
"#NICAR2019","2019-03-09 18:25:41+00:00","Erin Mansfield @ #NICAR19","_erinmansfield","False","RT @LatoyaPeterson: I'm at #NICAR2019 listening to the fabulous Harlo Holmes talk about digital security. Don't know Harlo's work? Check he","https://twitter.com/_erinmansfield/status/1104448184519020544","1104448184519020544","http://pbs.twimg.com/profile_images/949065751511515136/vF63ZntV_normal.jpg","East Texas","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","2","0","","True","","","en"
"#NICAR2019","2019-03-09 18:24:25+00:00","Lam Thuy Vo","lamthuyvo","False","RT @LatoyaPeterson: I'm at #NICAR2019 listening to the fabulous Harlo Holmes talk about digital security. Don't know Harlo's work? Check he","https://twitter.com/lamthuyvo/status/1104447865223471104","1104447865223471104","http://pbs.twimg.com/profile_images/1093358794141253632/ruV7KYOi_normal.jpg","New York, NY","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","2","0","","False","","","en"
"#NICAR2019","2019-03-09 18:23:49+00:00","Latoya Peterson","LatoyaPeterson","False","I'm at #NICAR2019 listening to the fabulous Harlo Holmes talk about digital security. Don't know Harlo's work? Chec https://t.co/M7wkmniJOl","https://twitter.com/LatoyaPeterson/status/1104447713188306944","1104447713188306944","http://pbs.twimg.com/profile_images/1045775960539185152/kTwuBv3b_normal.jpg","On a Plane","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","2","5","","True","","","en"
"#NICAR2019","2019-03-09 18:22:39+00:00","Kristin Hussey","kristinhussey1","False","Can someone viz this out and show us the winner? #NICAR19 #NICAR2019 https://t.co/7vra0x0f1w","https://twitter.com/kristinhussey1/status/1104447423043133440","1104447423043133440","http://pbs.twimg.com/profile_images/1092430160878551041/QXdPMQ6A_normal.jpg","Connecticut","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","0","2","","False","","","en"
"#NICAR2019","2019-03-09 18:21:26+00:00","Todd Wallack","TWallack","False","Seems like a hashtag war over #NICAR19 (the official tag) and #NICAR2019","https://twitter.com/TWallack/status/1104447115403485184","1104447115403485184","http://pbs.twimg.com/profile_images/813577583908556800/B62UzizH_normal.jpg","Boston, MA","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","0","4","","True","","","en"
"#NICAR2019","2019-03-09 18:15:48+00:00","uly_muoz.NEF","y00lz","False","RT @christinezhang: spotted at #NICAR2019: @RobertMaguire_ wearing the we are putting out a damn paper tomorrow shirt in honor of @capgaz","https://twitter.com/y00lz/status/1104445696726441984","1104445696726441984","http://pbs.twimg.com/profile_images/1103165426639491072/6u1doSD9_normal.jpg","Baltimore","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","6","0","","True","","","en"
"#NICAR2019","2019-03-09 18:06:59+00:00","UT Media Innovation","innovationUT","False","RT @Brolos95: Back for Day 3 of #NICAR2019 .

@innovationUT https://t.co/AP2zqQ57As","https://twitter.com/innovationUT/status/1104443476492591105","1104443476492591105","http://pbs.twimg.com/profile_images/850006148698652672/a34I22YU_normal.jpg","Austin, TX","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","1","0","","True","","","en"
"#NICAR2019","2019-03-09 18:05:57+00:00","Djordje Padejski @ #NICAR19","djordjepadejski","False","RT @nassos_: Good morning #NICAR2019! If you fancy building on your mapping skills, @willdahlgreen and I will be following on from @DanielJ","https://twitter.com/djordjepadejski/status/1104443219402616832","1104443219402616832","http://pbs.twimg.com/profile_images/594768300724199424/R380icBL_normal.jpg","Stanford, CA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","5","0","","True","","","en"
"#NICAR2019","2019-03-09 18:05:24+00:00","PaprikaPink","PaprikaPink","False","RT @christinezhang: spotted at #NICAR2019: @RobertMaguire_ wearing the we are putting out a damn paper tomorrow shirt in honor of @capgaz","https://twitter.com/PaprikaPink/status/1104443078746599425","1104443078746599425","http://pbs.twimg.com/profile_images/1081434104829140992/mjH96wKD_normal.jpg","Las Vegas, NV","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","6","0","","True","","","en"
